Merk,Model,Tahun Produksi,Jarak Tempuh,Warna,Engine CC,Transmission,Seat Capacity,Harga,Fuel Type,Umur Mobil
Toyota,Avanza,2020.0,47500.0,Silver,1329.0,Manual,7.0,155000000.0,Petrol,5.0
Nissan,Terra,2018.0,92500.0,White,2488.0,Automatic,7.0,295000000.0,Diesel,7.0
Honda,Cr,2015.0,87500.0,Black,2354.0,Automatic,5.0,179000000.0,Petrol,10.0
Suzuki,Grand,2013.0,152500.0,Black,2393.0,Manual,5.0,115000000.0,Petrol,12.0
Suzuki,Baleno,2022.0,52500.0,Brown,1373.0,Automatic,5.0,189000000.0,Petrol,3.0
Toyota,Fortuner,2019.0,67500.0,White,2393.0,Automatic,7.0,369000000.0,Diesel,6.0
Mitsubishi,Pajero,2019.0,42500.0,Brown,2442.0,Automatic,7.0,389000000.0,Diesel,6.0
Toyota,Fortuner,2024.0,7500.0,White,2755.0,Automatic,7.0,545000000.0,Diesel,1.0
Mini,Cabrio,2019.0,7500.0,Orange,1998.0,Automatic,4.0,825000000.0,Petrol,6.0
Mercedes,Benz,2019.0,17500.0,Grey,1991.0,Automatic,4.0,799000000.0,Petrol,6.0
Honda,Cr,2018.0,77500.0,Grey,1498.0,Automatic,5.0,300000000.0,Petrol,7.0
Bmw,430I,2023.0,2500.0,Blue,1998.0,Automatic,4.0,1195000000.0,Petrol,2.0
Mercedes,Benz,2022.0,17500.0,Black,1332.0,Automatic,5.0,699000000.0,Petrol,3.0
Mercedes,Benz,2021.0,12500.0,Black,2999.0,Automatic,7.0,1150000000.0,Petrol,4.0
Mercedes,Benz,2021.0,7500.0,Black,2999.0,Automatic,5.0,1750000000.0,Petrol,4.0
Toyota,Veloz,2023.0,37500.0,Silver,1496.0,Automatic,7.0,228000000.0,Petrol,2.0
Mazda,2,2017.0,42500.0,Red,1496.0,Automatic,5.0,159000000.0,Petrol,8.0
Mercedes,Benz,2018.0,22500.0,Black,2999.0,Automatic,5.0,777000000.0,Petrol,7.0
Mg,Zs,2023.0,2500.0,Silver,1498.0,Automatic,5.0,212000000.0,Petrol,2.0
Mercedes,Benz,2015.0,32500.0,Grey,1991.0,Automatic,5.0,430000000.0,Petrol,10.0
Mazda,Cx,2021.0,47500.0,Grey,2488.0,Automatic,7.0,365000000.0,Petrol,4.0
Mini,Cooper,2015.0,27500.0,White,2000.0,Automatic,5.0,385000000.0,Petrol,10.0
Toyota,Alphard,2014.0,107500.0,White,2362.0,Automatic,7.0,265000000.0,Petrol,11.0
Bmw,640I,2014.0,7500.0,White,2979.0,Automatic,5.0,650000000.0,Petrol,11.0
Bmw,X5,2022.0,2500.0,Black,2998.0,Automatic,5.0,1095000000.0,Petrol,3.0
Toyota,Raize,2023.0,12500.0,Grey,1198.0,Automatic,5.0,179000000.0,Petrol,2.0
Toyota,Kijang,2022.0,52500.0,Black,2393.0,Automatic,8.0,329000000.0,Diesel,3.0
Toyota,Alphard,2017.0,67500.0,Black,2494.0,Automatic,7.0,540000000.0,Petrol,8.0
